      1 21	日
      1 2019	BBC
      1 2017	年
      1 2	万
      1 1980	Gwangju
      1 1979	年
      1 19	日
      1 17	件
      1 11	月
      1 10	代
      1 09	月
